requirement_id,user_story,description,assignee
APP_01010,US_1.0,"The telematics application shall provide a user login screen with username/password and biometric authentication options.",harry
APP_01020,US_1.0,"The telematics application shall support role-based access control (Admin, Fleet Manager, Driver, Viewer).",vtee
APP_01030,US_1.0,"The telematics application shall integrate with OAuth 2.0 / OpenID Connect for single sign-on (SSO).",stee
APP_01040,US_1.0.1,"The telematics application shall enforce password complexity rules (min 8 chars, uppercase, lowercase, digit, special char).",harry
APP_01050,US_1.0.1,"The telematics application shall lock the user account after 5 consecutive failed login attempts for 15 minutes.",vtee
APP_01060,US_1.0.1,"The telematics application shall support multi-factor authentication (MFA) via SMS or authenticator app.",stee
APP_01070,US_1.0.1,"The telematics application shall automatically log out idle sessions after a configurable timeout (default: 30 minutes).",harry
APP_01080,US_2.0,"The telematics application shall display a real-time map view showing all connected vehicles with live position updates.",vtee
APP_01090,US_2.0,"The telematics application shall support map layers including satellite, terrain, and traffic overlays.",stee
APP_01100,US_2.0,"The telematics application shall allow users to click on a vehicle marker to view detailed vehicle status information.",harry
APP_01110,US_2.0,"The telematics application shall update vehicle positions on the map at a minimum refresh rate of 5 seconds.",vtee
APP_01120,US_2.0.1,"The telematics application shall support vehicle clustering on the map when zoom level shows overlapping markers.",stee
APP_01130,US_2.0.1,"The telematics application shall display vehicle heading direction on map markers.",harry
APP_01140,US_2.0.1,"The telematics application shall allow users to filter displayed vehicles by group, status, or custom tags.",vtee
APP_01150,US_2.0.1,"The telematics application shall support historical route playback with adjustable playback speed (1x to 20x).",stee
APP_01160,US_2.1,"The telematics application shall display a fleet dashboard with summary KPIs (total vehicles, active, idle, offline).",harry
APP_01170,US_2.1,"The telematics application shall display average fleet fuel consumption on the dashboard.",vtee
APP_01180,US_2.1,"The telematics application shall display total fleet distance traveled (daily, weekly, monthly) on the dashboard.",stee
APP_01190,US_2.1,"The telematics application shall display a driver behavior score summary (fleet average and per-driver) on the dashboard.",harry
APP_01200,US_2.1.1,"The telematics application dashboard shall support configurable widgets that users can add, remove, and rearrange.",vtee
APP_01210,US_2.1.1,"The telematics application shall display real-time alert count and severity breakdown on the dashboard.",stee
APP_01220,US_3.0,"The telematics application shall allow users to create geofences by drawing circular or polygonal regions on the map.",harry
