requirement_id,user_story,description,assignee
Core_01110,US_1.0,"The telematics ECU shall boot up and be operational within 5 seconds after ignition ON.",mimi
Core_01120,US_1.0,"The telematics ECU shall enter low-power sleep mode within 30 seconds after ignition OFF.",teetee
Core_01130,US_1.0,"The telematics ECU shall support a watchdog timer to detect and recover from software hangs within 2 seconds.",mimi
Core_01140,US_1.0,"The telematics ECU shall perform a power-on self-test (POST) at every startup and report results.",teetee
Core_01150,US_1.0.1,"The telematics ECU shall support over-the-air (OTA) firmware updates for all onboard software components.",mimi
Core_01160,US_1.0.1,"The OTA update mechanism shall support differential (delta) updates to minimize download size.",teetee
Core_01170,US_1.0.1,"The telematics ECU shall verify firmware integrity using SHA-256 checksum before applying an OTA update.",mimi
Core_01180,US_1.0.1,"The telematics ECU shall support rollback to the previous firmware version if an OTA update fails.",teetee
Core_01190,US_1.0.1,"The telematics ECU shall notify the backend server of OTA update status (success/failure/rollback).",mimi
Core_01200,US_1.1,"The telematics ECU shall support 4G LTE Cat-1 cellular connectivity as the primary communication channel.",teetee
Core_01210,US_1.1,"The telematics ECU shall support automatic fallback to 2G/3G when 4G LTE is unavailable.",mimi
Core_01220,US_1.1,"The telematics ECU shall support Wi-Fi 802.11 b/g/n for local connectivity and diagnostics.",teetee
Core_01230,US_1.1,"The telematics ECU shall support Bluetooth 5.0 BLE for short-range device communication.",mimi
Core_01240,US_1.1,"The telematics ECU shall support GNSS (GPS + GLONASS) for vehicle positioning with accuracy ≤ 2.5 meters CEP.",teetee
Core_01250,US_1.1.1,"The telematics ECU shall support simultaneous cellular and GNSS operation without mutual interference.",mimi
Core_01260,US_1.1.1,"The telematics ECU shall buffer telemetry data locally when cellular connectivity is lost and transmit upon reconnection.",teetee
Core_01270,US_1.1.1,"The local data buffer shall support a minimum of 72 hours of telemetry data storage.",mimi
Core_01280,US_1.2,"The telematics ECU shall communicate with vehicle ECUs via CAN 2.0B at 500 kbps.",teetee
Core_01290,US_1.2,"The telematics ECU shall support CAN-FD communication at up to 5 Mbps data rate.",mimi
Core_01300,US_1.2,"The telematics ECU shall support at least 2 independent CAN bus interfaces.",teetee
Core_01310,US_1.2,"The telematics ECU shall support UDS (ISO 14229) diagnostic protocol over CAN.",mimi
Core_01320,US_1.2,"The telematics ECU shall support OBD-II PID reading for standard vehicle parameters.",teetee
Core_01330,US_1.2.1,"The telematics ECU shall decode DBC-defined CAN messages for vehicle signal extraction.",mimi
Core_01340,US_1.2.1,"The telematics ECU shall support configurable CAN message filtering to reduce processing overhead.",teetee
Core_01350,US_2.0,"The telematics ECU shall collect and transmit vehicle speed data at a minimum rate of 1 Hz.",mimi
Core_01360,US_2.0,"The telematics ECU shall collect and transmit engine RPM data at a minimum rate of 1 Hz.",teetee
Core_01370,US_2.0,"The telematics ECU shall collect and transmit fuel level data at a minimum rate of 0.1 Hz.",mimi
Core_01380,US_2.0,"The telematics ECU shall collect and transmit odometer reading at a minimum rate of 0.1 Hz.",teetee
Core_01390,US_2.0,"The telematics ECU shall collect and transmit engine coolant temperature at a minimum rate of 0.5 Hz.",mimi
Core_01400,US_2.0.1,"The telematics ECU shall collect and transmit battery voltage at a minimum rate of 0.5 Hz.",teetee
Core_01410,US_2.0.1,"The telematics ECU shall collect and transmit DTC (Diagnostic Trouble Codes) upon detection.",mimi
Core_01420,US_2.0.1,"The telematics ECU shall timestamp all collected telemetry data using UTC with millisecond precision.",teetee
Core_01430,US_2.1,"The telematics ECU shall transmit telemetry data to the backend server using MQTT protocol.",mimi
Core_01440,US_2.1,"The MQTT connection shall use TLS 1.2 or higher for data encryption in transit.",teetee
Core_01450,US_2.1,"The telematics ECU shall support configurable MQTT topic structure for data routing.",mimi
Core_01460,US_2.1,"The telematics ECU shall support MQTT QoS level 1 (at-least-once delivery) for critical data.",teetee
Core_01470,US_2.1,"The telematics ECU shall support MQTT QoS level 0 (at-most-once delivery) for non-critical streaming data.",mimi
Core_01480,US_2.1.1,"The telematics ECU shall support configurable telemetry upload intervals (range: 1 second to 24 hours).",teetee
